Timestamp,miners-revenue
2021-02-22 00:00:00,52905473.90020501
2021-02-23 00:00:00,48487887.64094238
2021-02-24 00:00:00,59746178.57906681
2021-02-25 00:00:00,57792548.4154015
2021-02-26 00:00:00,47395143.797322005
2021-02-27 00:00:00,51148405.64582984
2021-02-28 00:00:00,40396048.67600178
2021-03-01 00:00:00,44513744.099418715
2021-03-02 00:00:00,50567917.70753806
2021-03-03 00:00:00,55147754.83271214
2021-03-04 00:00:00,45722350.32302363
2021-03-05 00:00:00,49815984.01444393
2021-03-06 00:00:00,49711918.89213497
2021-03-07 00:00:00,49451162.50304934
2021-03-08 00:00:00,53803631.21964566
2021-03-09 00:00:00,52888356.46482327
2021-03-10 00:00:00,57652864.476403445
2021-03-11 00:00:00,52736912.574518405
2021-03-12 00:00:00,60000114.24336446
2021-03-13 00:00:00,59410978.32581383
2021-03-14 00:00:00,64756375.034695014
2021-03-15 01:00:00,59673362.68696073
2021-03-16 01:00:00,57657199.41954258
2021-03-17 01:00:00,54456146.879519716
2021-03-18 01:00:00,64386085.97207126
2021-03-19 01:00:00,61617467.94631133
2021-03-20 01:00:00,61522483.4952451
2021-03-21 01:00:00,60066262.67738397
2021-03-22 01:00:00,58540676.97897906
2021-03-23 01:00:00,60904323.71943131
2021-03-24 01:00:00,56905120.7290735
2021-03-25 01:00:00,55913485.57796882
2021-03-26 01:00:00,49554041.05561001
2021-03-27 01:00:00,59212965.29536148
2021-03-28 01:00:00,58772016.35476238
2021-03-29 01:00:00,59732041.28817989
2021-03-30 01:00:00,58978791.97986809
2021-03-31 01:00:00,63698731.011946015
2021-04-01 01:00:00,58722692.65813852
2021-04-02 01:00:00,57243512.862984665
2021-04-03 01:00:00,54056516.12378918
2021-04-04 01:00:00,56501558.977773495
2021-04-05 01:00:00,62213130.42119343
2021-04-06 01:00:00,58865753.6739137
2021-04-07 01:00:00,61699929.39559078
2021-04-08 01:00:00,53025106.53857864
2021-04-09 01:00:00,62936805.508286126
2021-04-10 01:00:00,64092742.42249997
2021-04-11 01:00:00,58799840.659562446
2021-04-12 01:00:00,59662203.17826638
2021-04-13 01:00:00,61441759.0375718
2021-04-14 01:00:00,63141327.402798735
2021-04-15 01:00:00,80172244.97007681
2021-04-16 01:00:00,48356808.52401327
2021-04-17 01:00:00,45028087.58663974
2021-04-18 01:00:00,57721965.5233542
2021-04-19 01:00:00,47180246.47068432
2021-04-20 01:00:00,62004693.81146113
2021-04-21 01:00:00,49225543.81325493
2021-04-22 01:00:00,64293952.906998485
2021-04-23 01:00:00,55567384.88797259
2021-04-24 01:00:00,53877732.96517578
2021-04-25 01:00:00,49453312.869487576
2021-04-26 01:00:00,47389587.56067316
2021-04-27 01:00:00,57182089.25851064
2021-04-28 01:00:00,56029341.15713478
2021-04-29 01:00:00,48848197.60179543
2021-04-30 01:00:00,59389761.303177826
2021-05-01 01:00:00,56995422.307202466
2021-05-02 01:00:00,70637245.5046327
2021-05-03 01:00:00,71252796.33298717
2021-05-04 01:00:00,68034176.30412355
2021-05-05 01:00:00,61161963.09240894
2021-05-06 01:00:00,66659326.27502956
2021-05-07 01:00:00,71663298.61460015
2021-05-08 01:00:00,67678884.92096624
2021-05-09 01:00:00,71465404.01503558
2021-05-10 01:00:00,71072062.4963203
2021-05-11 01:00:00,64607298.400094174
2021-05-12 01:00:00,64585949.4848341
2021-05-13 01:00:00,53650242.51126909
2021-05-14 01:00:00,45652932.824427664
2021-05-15 01:00:00,41386831.59001042
2021-05-16 01:00:00,41709082.876608536
2021-05-17 01:00:00,36875391.36590077
2021-05-18 01:00:00,30628667.240716435
2021-05-19 01:00:00,36558890.15030742
2021-05-20 01:00:00,33135536.43756745
2021-05-21 01:00:00,31984319.396481585
2021-05-22 01:00:00,31076144.881794974
2021-05-23 01:00:00,28944158.98421438
2021-05-24 01:00:00,32668797.23653627
2021-05-25 01:00:00,32577927.94728843
2021-05-26 01:00:00,32976616.14112848
2021-05-27 01:00:00,30872457.374978814
2021-05-28 01:00:00,29892496.4361271
2021-05-29 01:00:00,27237217.139367037
2021-05-30 01:00:00,33235125.091146626
2021-05-31 01:00:00,33914623.681255355
2021-06-01 01:00:00,34238305.81555942
2021-06-02 01:00:00,41033277.7360982
2021-06-03 01:00:00,37237145.28549553
2021-06-04 01:00:00,32433139.613245476
2021-06-05 01:00:00,31004148.542508267
2021-06-06 01:00:00,34551597.29480198
2021-06-07 01:00:00,32065211.206185155
2021-06-08 01:00:00,31680869.696719125
2021-06-09 01:00:00,29082024.72863661
2021-06-10 01:00:00,28990968.607225362
2021-06-11 01:00:00,25753794.507168025
2021-06-12 01:00:00,31189778.559382275
2021-06-13 01:00:00,31382108.55365283
2021-06-14 01:00:00,36421303.120417744
2021-06-15 01:00:00,34465050.9411636
2021-06-16 01:00:00,31780141.800057426
2021-06-17 01:00:00,32585835.143843785
2021-06-18 01:00:00,29858234.31511843
2021-06-19 01:00:00,23856840.00185822
2021-06-20 01:00:00,23743052.0992393
2021-06-21 01:00:00,23126700.279965036
2021-06-22 01:00:00,19804046.130290017
2021-06-23 01:00:00,23621428.331087295
2021-06-24 01:00:00,23766132.38608606
2021-06-25 01:00:00,24364896.164727684
2021-06-26 01:00:00,18459502.48536148
2021-06-27 01:00:00,13064509.932234002
2021-06-28 01:00:00,20581265.559633788
2021-06-29 01:00:00,21860395.240822982
2021-06-30 01:00:00,21597056.01010785
2021-07-01 01:00:00,22482193.59954811
2021-07-02 01:00:00,20787750.55088921
2021-07-03 01:00:00,29286315.156302497
