Timestamp,hash-rate
2021-02-22 00:00:00,143628376.2457872
2021-02-23 00:00:00,137148900.6256765
2021-02-24 00:00:00,171706103.93293357
2021-02-25 00:00:00,168466366.12287825
2021-02-26 00:00:00,150107851.8658979
2021-02-27 00:00:00,169546278.72623003
2021-02-28 00:00:00,141468551.03908366
2021-03-01 00:00:00,140388638.43573186
2021-03-02 00:00:00,154427502.27930507
2021-03-03 00:00:00,164146715.7094711
2021-03-04 00:00:00,138228813.22902828
2021-03-05 00:00:00,160906977.89941573
2021-03-06 00:00:00,162254330.9888254
2021-03-07 00:00:00,155665151.9066483
2021-03-08 00:00:00,165260948.9419896
2021-03-09 00:00:00,149267953.88308737
2021-03-10 00:00:00,158863750.91842875
2021-03-11 00:00:00,140738356.51833954
2021-03-12 00:00:00,159929950.58902222
2021-03-13 00:00:00,152466552.89486787
2021-03-14 00:00:00,167393348.28317663
2021-03-15 01:00:00,157797551.24783528
2021-03-16 01:00:00,158863750.91842875
2021-03-17 01:00:00,145003155.2007135
2021-03-18 01:00:00,162062349.9302092
2021-03-19 01:00:00,158357615.36380938
2021-03-20 01:00:00,167389189.0439892
2021-03-21 01:00:00,169563074.61598912
2021-03-22 01:00:00,164128360.68598944
2021-03-23 01:00:00,174997788.54598877
2021-03-24 01:00:00,165215303.47198936
2021-03-25 01:00:00,167389189.0439892
2021-03-26 01:00:00,147824218.8959905
2021-03-27 01:00:00,172823902.97398886
2021-03-28 01:00:00,172823902.97398886
2021-03-29 01:00:00,164128360.68598944
2021-03-30 01:00:00,158693646.7559898
2021-03-31 01:00:00,170650017.401989
2021-04-01 01:00:00,157606703.96998987
2021-04-02 01:00:00,160517766.38346806
2021-04-03 01:00:00,150672055.73110902
2021-04-04 01:00:00,167924581.1965032
2021-04-05 01:00:00,179426264.84009933
2021-04-06 01:00:00,165624244.467784
2021-04-07 01:00:00,180576433.20445892
2021-04-08 01:00:00,154122560.82418784
2021-04-09 01:00:00,174825591.38266087
2021-04-10 01:00:00,180576433.20445892
2021-04-11 01:00:00,166774412.8321436
2021-04-12 01:00:00,165624244.467784
2021-04-13 01:00:00,163323907.73906472
2021-04-14 01:00:00,155272729.1885475
2021-04-15 01:00:00,198514005.70963436
2021-04-16 01:00:00,120743465.5644424
2021-04-17 01:00:00,106676265.69285686
2021-04-18 01:00:00,145361065.33971703
2021-04-19 01:00:00,113709865.62864962
2021-04-20 01:00:00,150050131.96357888
2021-04-21 01:00:00,118398932.25251147
2021-04-22 01:00:00,167634131.8030608
2021-04-23 01:00:00,158255998.5553371
2021-04-24 01:00:00,169978665.11499172
